,Name,Accepts Cryptocurrency,All Day Breakfast,Available for Functions,BYO,BYO Cake,BYO Food,Beer,Beer Tasting,Breakfast,Brunch,Buffet,Category 1,Category 2,Catering Available,Corkage Fee Charged,Cost,Craft Beer,Cuisine 1,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine 5,Dairy Free,Degustation,Delivery Only,Desserts and Bakes,Drive Thru,Entry Fee,FODMAP Friendly,Farm-to-Table,Feed Me Menu,Free Parking,Full Bar Available,Garden,Gastro Pub,Gin Tasting,Gluten Free Options,Group Bookings Available,Group Meal,High Tea,Home Delivery,Indoor Seating,Izakaya,Kaiseki,Kid Friendly,Known For,Kosher,Live Entertainment,Live Music,Live Sports Screening,Location 1,Location 2,Location 3,Location 4,Location 5,Lunch Menu,Luxury Dining,Natural Wine,Nightlife,No Alcohol Available,Number of Blogs,Number of Photos,Number of Reviews,Omakase Available,Open 24/7,Outdoor Seating,Payments,Pet Friendly,Pram Friendly,Pre-Theatre Menu,Rating,Restricted Entry,Rooftop,Sake,Seating Not Available,Serves Alcohol,Serves Cocktails,Serves Halal,Set Menu,Shared Plates,Shisha,Smoking Area,Soju,Split Bills,Sports Bar,Sushi Train,Table Reservation Not Required,Table booking for Groups,Table booking not available,Table booking recommended,Table reservation required,Takeaway Available,Takeaway Only,Total Opening Hours (Weekly),Vegan Options,Vegetarian Friendly,Waterfront,Wheelchair Accessible,Whisky Tasting,Wifi,Wine,Wine Cellar,Wine Tasting,Wine and Beer,VADER Score (Compound),TextBlob Score,TextBlob Score (Categorical)
46,Captains of Industry,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Bar,Not specified,Not specified,45.0,Not specified,Sandwich,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Gentlemens outfitter and cafe on Somerset Place,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Somerset Place,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,34.0,277.0,598.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,63.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.9341200000000001,0.27233658933658933,Positive
47,Sartoria,Not specified,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,50.0,Not specified,Healthy Food,Cafe Food,Coffee and Tea,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,"Breakfast cocktails and innovative brunch fare in a former seamstress warehouse, now converted into a spacious, well designed cafe. Home made, eco-friendly, sustainable and locally sourced produce.",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Preston,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,13.0,437.0,238.0,Not specified,Not specified,True,"Cash,Cards and EFTPOS accepted",True,True,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,51.0,True,True,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.89618,0.4520203282828283,Positive
48,Roast Duck Inn,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,60.0,Not specified,Chinese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Box Hill,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,10.0,187.0,421.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,84.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.5493383620689655,0.2298112213047889,Positive
49,Fork & Fingers,Not specified,Not specified,True,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,70.0,True,Indian,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Ascot Vale,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,8.0,140.0,82.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,True,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,35.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8770083333333331,0.39658263724253273,Positive
50,Sonido!,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,35.0,Not specified,Latin American,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,The traditional Columbian hot chocolate corona served in a traditional olleta (mug) and molinillo (stirring stick),Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner North,Fitzroy,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,26.0,226.0,600.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,53.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8386,0.24996780996780998,Positive
51,Plume Chinese,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,60.0,Not specified,Asian,Chinese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Australia,Melbourne,Eastern Suburb,Doncaster,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,5.0,82.0,342.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,30.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.270652093023256,0.12633348869804037,Negative
52,Tokosan,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Bar,Not specified,Not specified,70.0,True,Asian,Japanese,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner South,Prahran,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,10.0,220.0,89.0,Not specified,Not specified,True,"Cash,Cards and EFTPOS accepted",True,Not specified,Not specified,4.1,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,17.5,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7186195652173913,0.18822052037647066,Positive
53,Second Wife,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,50.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Box Hill,Not specified,Not specified,Not specified,Not specified,Not specified,True,4.0,159.0,129.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,54.0,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.895125,0.34955275974025973,Positive
54,The Everleigh,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bar,Wine Bar,Not specified,Not specified,60.0,True,Drinks Only,Bar Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,An intimate seated cocktail bar,Not specified,Not specified,True,Not specified,Australia,Melbourne,Inner North,Fitzroy,Not specified,Not specified,Not specified,Not specified,True,Not specified,15.0,39.0,316.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.0,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.9596666666666667,0.3777943121693122,Positive
55,A Little Joy 勿相忘,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,40.0,Not specified,Chinese,Dumplings,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Bourke Street,Target Centre,Not specified,Not specified,Not specified,Not specified,True,,40.0,48.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,3.9,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,82.0,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.8470833333333333,0.2345660867962004,Positive
56,The Bagel Store,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,30.0,Not specified,American,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Wantirna,Not specified,Not specified,Not specified,Not specified,Not specified,True,,30.0,28.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,53.0,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.7606437500000001,0.3279118089664964,Positive
57,2Q Rotary Hotpot Buffet,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Casual Dining,Not specified,Not specified,Not specified,75.0,Not specified,Hot Pot,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"All-you-can-eat hotpot buffet with a variety of dishes served on a conveyor train, with an extensive choice of hotpot ingredients including unlimited seafood, ox tongue, hot food & desserts",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Southern Suburb,Oakleigh,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,42.0,47.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,35.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.91325,0.20987355169340466,Positive
58,Hello Jose,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Bar,Not specified,Not specified,50.0,Not specified,Mexican,Bar Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Mexican inspired dishes in a fun and relaxed environment,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner West,West Melbourne,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2.0,74.0,134.0,Not specified,Not specified,True,Cards only,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,22.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8601823529411765,0.3208658235429444,Positive
59,Harley and Rose,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,80.0,Not specified,Modern Australian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner West,West Footscray,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,47.0,63.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,40.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.98185,0.31345502724614566,Positive
60,Phat Stacks Burgers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Casual Dining,Not specified,Not specified,Not specified,45.0,Not specified,Burger,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,"Over indulgent burgers, and a section on the menu highlighting freakshakes topped to the nines",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Camberwell,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,3.0,152.0,106.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,55.5,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7112642857142858,0.28476057467045185,Positive
61,Afternoon Tea At The Windsor,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Casual Dining,Not specified,Not specified,Not specified,140.0,Not specified,Desserts,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,True,This famous tradition has been synonymous with the Hotel Windsor since 1883,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Spring Street,Hotel Windsor,Not specified,Not specified,Not specified,Not specified,Not specified,2.0,170.0,50.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,14.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,0.9257799999999999,0.3010856782106782,Positive
62,Birdcage Altona Cafe,Not specified,True,True,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,True,Not specified,60.0,True,Cafe Food,Coffee and Tea,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner West,Altona,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1.0,73.0,46.0,Not specified,Not specified,True,Cash and Cards accepted,True,True,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,True,Not specified,68.0,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.8632100000000003,0.3577808298172047,Positive
63,Papirica,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,40.0,Not specified,Japanese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner East,Collingwood,Not specified,Not specified,Not specified,Not specified,Not specified,True,1.0,70.0,78.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,33.5,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8803999999999998,0.20651360544217684,Positive
64,Naughty Boy,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,60.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Well designed interiors to match the intricately prepared meals and famous shakes,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner North,Carlton North,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,30.0,1001.0,569.0,Not specified,Not specified,True,Cash and Cards accepted,True,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,58.5,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.6136600000000001,0.26832491674991676,Positive
65,Miss Marie,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,50.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Rosanna,Not specified,Not specified,Not specified,Not specified,Not specified,True,10.0,204.0,664.0,Not specified,Not specified,True,Cash and Cards accepted,True,Not specified,Not specified,4.4,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,58.5,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.647525,0.29365780053280055,Positive
66,Geppettos Italian Burwood,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,100.0,Not specified,Italian,Pizza,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Burwood,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2.0,62.0,267.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,3.7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,42.0,Not specified,True,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.526487878787879,0.28649284183390994,Positive
67,The Lilydale General,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,40.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Tranquil surrounds with a mix of rich and healthy breakfast faves,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Lilydale,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,5.0,175.0,401.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,59.0,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.94685,0.2798029401154401,Positive
68,Bellota,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,90.0,Not specified,European,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Carefully selected wine list and well executed food in a warm and friendly environment,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner South,South Melbourne,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,6.0,62.0,116.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,72.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7718652173913042,0.2935917029071587,Positive
69,Dumpling Wise,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Food Court,Not specified,Not specified,Not specified,50.0,Not specified,Chinese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Western Suburb,Taylors Lakes,"Watergardens Town Centre, Taylor Lakes",Not specified,Not specified,Not specified,Not specified,Not specified,1.0,66.0,55.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,72.0,Not specified,True,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.4069249999999999,0.1785971748576883,Positive
